,SMU1 Current Measurement (A),SMU2 Current Measurement (A),SMU3 Current Measurement (A),SMU1 Voltage Output (V)
0,-2.6e-10,-3.4e-10,-4.2e-10,0.0
1,-2e-10,-8.4e-10,-4.2e-10,0.1
2,-5e-10,-4e-11,6e-11,0.2
3,1e-10,1.8e-10,4.8e-10,0.3
4,7.8e-10,6e-10,-2e-11,0.4
5,1e-10,-8e-11,-1.2e-10,0.5
6,-2e-10,-7.8e-10,-3.4e-10,0.6
7,-5.4e-10,0.0,6e-11,0.7
8,1e-10,1.8e-10,4.2e-10,0.8
9,7.8e-10,5.2e-10,-6e-11,0.9
10,6e-11,-1e-10,-1.4e-10,1.0
11,-8e-11,-1e-10,-4.8e-10,1.0
12,-2.2e-10,-5.6e-10,-2e-10,0.9
13,-4.2e-10,1.6e-10,1e-10,0.8
14,8e-11,4e-10,4e-10,0.7
15,6e-10,3.6e-10,-6e-11,0.6
16,-6e-11,-1.2e-10,-4.2e-10,0.5
17,-2e-10,-5.6e-10,-2.2e-10,0.4
18,-5.4e-10,1e-10,8e-11,0.3
19,6e-11,1.8e-10,3.8e-10,0.2
20,7.2e-10,4.4e-10,-6e-11,0.1
21,4e-11,-8e-11,-1.2e-10,0.0
