,SMU1 Current Measurement (A),SMU2 Current Measurement (A),SMU3 Current Measurement (A),SMU1 Voltage Output (V)
0,-1.2e-10,-1e-10,-1.2e-10,0.0
1,-6e-11,-1e-10,-3.2e-10,0.1
2,-2e-10,-5.6e-10,-2.4e-10,0.2
3,-4.6e-10,1.4e-10,8e-11,0.3
4,1e-10,2.8e-10,4.2e-10,0.4
5,6.4e-10,3.8e-10,-6e-11,0.5
6,-4e-11,-1e-10,-2.8e-10,0.6
7,-1.8e-10,-6.2e-10,-2.6e-10,0.7
8,-5.4e-10,6e-11,8e-11,0.8
9,6e-11,2e-10,4.2e-10,0.9
10,7e-10,4.2e-10,-6e-11,1.0
11,5.2e-10,3.2e-10,-8e-11,1.0
12,-1e-10,-1.2e-10,-5.2e-10,0.9
13,-2.6e-10,-5.8e-10,-1.6e-10,0.8
14,-4e-10,1.6e-10,1e-10,0.7
15,1.2e-10,3.4e-10,3.6e-10,0.6
16,6e-10,4e-10,-6e-11,0.5
17,-4e-11,-1e-10,-3.8e-10,0.4
18,-1.8e-10,-5.6e-10,-2.4e-10,0.3
19,-5e-10,1.2e-10,8e-11,0.2
20,6e-11,2.4e-10,4.2e-10,0.1
21,6.8e-10,4e-10,-6e-11,0.0
